W	X	Y	Z	D	stderr	Zscore	BABA	ABBA	nsnps	timescale	parameters	stat	ds	select	rep
Afr	admix	Vindija	outgroup	-0.1191	0.006816	-17.478	14142	17966	995712	medium	pseudohaploid	dstat	1000000	all	86
Afr	AMH1	Vindija	outgroup	0.0023	0.004475	0.521	15016	14946	995712	medium	pseudohaploid	dstat	1000000	all	86
Afr	admix	Vindija	outgroup	-0.1101	0.006505	-16.931	14269	17800	995470	medium	pseudohaploid	dstat	1000000	all	87
Afr	AMH1	Vindija	outgroup	5e-04	0.004676	0.102	14920	14906	995470	medium	pseudohaploid	dstat	1000000	all	87
Afr	admix	Vindija	outgroup	-0.117	0.006712	-17.43	14154	17904	995473	medium	pseudohaploid	dstat	1000000	all	88
Afr	AMH1	Vindija	outgroup	0.0045	0.00448	1.004	15050	14915	995473	medium	pseudohaploid	dstat	1000000	all	88
Afr	admix	Vindija	outgroup	-0.11	0.006663	-16.509	14199	17709	995529	medium	pseudohaploid	dstat	1000000	all	89
Afr	AMH1	Vindija	outgroup	0.0046	0.004609	1.001	14848	14712	995529	medium	pseudohaploid	dstat	1000000	all	89
Afr	admix	Vindija	outgroup	-0.1101	0.006917	-15.914	14298	17835	995607	medium	pseudohaploid	dstat	1000000	all	90
Afr	AMH1	Vindija	outgroup	0.0029	0.004383	0.654	14932	14847	995607	medium	pseudohaploid	dstat	1000000	all	90
Afr	admix	Vindija	outgroup	-0.118	0.006388	-18.469	14191	17987	995523	medium	pseudohaploid	dstat	1000000	all	91
Afr	AMH1	Vindija	outgroup	-0.0037	0.004384	-0.836	14937	15047	995523	medium	pseudohaploid	dstat	1000000	all	91
Afr	admix	Vindija	outgroup	-0.1226	0.006691	-18.33	14025	17945	995687	medium	pseudohaploid	dstat	1000000	all	92
Afr	AMH1	Vindija	outgroup	3e-04	0.004733	0.062	14820	14812	995687	medium	pseudohaploid	dstat	1000000	all	92
Afr	admix	Vindija	outgroup	-0.1178	0.006735	-17.486	14164	17945	995559	medium	pseudohaploid	dstat	1000000	all	93
